kenacideva	kenaci + eva
methunamanuyuttassa	methunaṃ + anuyuttassa
metteyyāti	metteyya + iti
hīnamāhu	hīnaṃ + āhu
etadariyānamuttamaṃ	etad + ariyānaṃ + uttamaṃ
visuddhimāhu	visuddhiṃ + āhu
pasaṃsamicchaṃ	pasaṃsaṃ + icchaṃ
parihīnamāhu	parihīnaṃ + āhu
abhigajjameti	abhigajjaṃ + eti
paṭisūramicchaṃ	paṭisūraṃ + icchaṃ
diṭṭhimuggayha	diṭṭhiṃ + uggayha
sampayātaveti	sampayātave + iti
pavitakkamāgamā	pavitakkaṃ + āgamā
bhavūpapattiñca	bhavūpapattiṃ + ca
sīlavatānujīvitaṃ	sīlavataṃ + anujīvitaṃ
māgaṇḍiyāti	māgaṇḍiya + iti
māgandiyāti	māgandiya + iti
passañca	passaṃ + ca
momuhameva	momuhaṃ + eva
aṇumpi	aṇuṃ + api
canūpalittaṃ	ca + anūpalittaṃ
piyānu	piyā + nu
dvayameva	dvayaṃ + eva
mamattamatthi	mamattaṃ + atthi
upanissitāti	upanissitā + iti
paṭikkosamakevalī	paṭikkosaṃ + akevalī
sakaṃsakaṃdiṭṭhiparibbasānā	sakaṃsakaṃ + diṭṭhiparibbasānā
dhammamanānujānaṃ	dhammaṃ + anānujānaṃ
sabbevime	sabbe + eva + ime
sakaṃsakaṃdiṭṭhimakaṃsu	sakaṃsakaṃ + diṭṭhiṃ + akaṃsu
kapīva	kapi + iva
ettāvataggampi	ettāvatā + aggaṃ + api
takkamanussaranti	takkaṃ + anussaranti
dvayadhammamāhu	dvayadhammaṃ + āhu
sayamattanā	sayaṃ + attanā
yābhivadanti	yā + abhivadanti
suddhimakevalī	suddhiṃ + akevalī
suddhimakevalīno	suddhiṃ + akevalīno
tyābhirattā	te + abhirattā
medhagamāvaheyya	medhagaṃ + āvaheyya
nindamanvānayanti	nindaṃ + anvānayanti
pasaṃsampi	pasaṃsaṃ + api
kimeyya	kiṃ + eyya
khantimakubbamāno	khantiṃ + akubbamāno
saññamenāhu	saññamena + āhu
satthāva	satthā + iva
santimanuggahāya	santiṃ + anuggahāya
suddhimanutthunanti	suddhiṃ + anutthunanti
panāhu	pana + āhu
paripuṇṇamāhu	paripuṇṇaṃ + āhu
sammutimāhu	sammutiṃ + āhu
paraneyyamatthi	paraneyyaṃ + atthi
dhammamaññaṃ	dhammaṃ + aññaṃ
tathaddasā	tatha + addasā
abhabbuppattikāni	abhabba + uppattikāni
munīdha	muni + idha
dhammamabhijaññā	dhammaṃ + abhijaññā
ajjhattamevupasame	ajjhattaṃ + eva + upasame
santimeseyya	santiṃ + eseyya
annānamatho	annānaṃ + atho
athāsanesu	atha + āsanesu
nāññamatimaññe	nāññaṃ + atimaññe
santīti	santi + iti
sakkhidhammamanītihamadassī	sakkhidhammaṃ + anītihaṃ + adassī
bhayamāvisi	bhayaṃ + āvisi
bhavanamattano	bhavanaṃ + attano
osānetveva	osāne + iti + eva
sallamaddakkhiṃ	sallaṃ + addakkhiṃ
sallamabbuyha	sallaṃ + abbuyha
sikkhānukiriyanti	sikkhā + anugīyanti
tamānisaṃsaṃ	taṃ + ānisaṃsaṃ
nirassatīti	nirassati + iti
dutīyamatthi	dutīyaṃ + atthi
atisāradiṭṭhiyāva	atisāradiṭṭhiyā + eva
bālamasuddhidhammaṃ	bālaṃ + asuddhidhammaṃ
sāvajjanavajjametaṃ	sāvajjanavajjaṃ + etaṃ
saddhammapūjāpi	saddhammapūjā + api
samantamasāro	samantaṃ + asāro
sikkhānugīyanti	sikkhā + anugīyanti
gaṇimāgato	gaṇiṃ + āgato
ratimajjhagā	ratiṃ + ajjhagā
gaṇimāgataṃ	gaṇiṃ + āgataṃ
rittamāsanaṃ	rittaṃ + āsanaṃ
kyāssassu	kiṃ + assa + assu
sīlabbatānāssu	sīlabbatāni + assu
paradhammikānampi	paradhammikānaṃ + api
yadāvilattaṃ	yad + āvilattaṃ
athappiyaṃ	atha + piyaṃ
kudha	ko + idha
soyevattho	so + eva + attho
satimābhinande	satiṃ + abhinande
mahāyaññamakappayi	mahāyaññaṃ + akappayi
vacanamabravi	vacanaṃ + abravi
ñāṇamettha	ñāṇaṃ + ettha
manasāyeva	manasā + eva
tasitovudakaṃ	tasito + iva + udakaṃ
mahālābhaṃva	mahālābhaṃ + iva
pabbatamāruhuṃ	pabbataṃ + āruhuṃ
sataraṃsīva	sataraṃsī + iva
nāmanighaṇḍurukkhādīnaṃ	nāma + nighaṇḍu + rukkha + ādīnaṃ
kametaṃ	kaṃ + etaṃ
vanasavhayaṃ	vanasa + avhayaṃ
kissābhilepanaṃ	kiṃ + assa + abhilepanaṃ
jappābhilepanaṃ	jappā + abhilepanaṃ
paññāyete	paññāya + ete
katthetaṃ	kattha + etaṃ
manasānāvilo	manasā + anāvilo
ubhantamabhiññāya	ubhantaṃ + abhiññāya
sibbinimaccagā	sibbiniṃ + accagā
puṇṇakāti	puṇṇaka + iti
kāmābhijappanti	kāma + abhijappanti
mettagūti	mettagū + iti
etābhinandāmi	etaṃ + abhinandāmi
nūnappajaheyyu	nūna + pajaheyyu
saṅgamimaṃ	saṅgaṃ + imaṃ
tenahātappaṃ	tena + hi + ātappaṃ
dhotakāti	dhotaka + iti
brāhmaṇamiriyamānaṃ	brāhmaṇaṃ + iriyamānaṃ
ākāsova	ākāso + iva
upasīvāti	upasīva + iti
pūgampi	pūgaṃ + api
pamāṇamatthi	pamāṇaṃ + atthi
vādapathāpi	vādapathā + api
sabbeti	sabbe + iti
nandāti	nanda + iti
nivutāti	nivutā + iti
anekarūpampi	anekarūpaṃ + api
oghatiṇṇāti	oghatiṇṇā + iti
dhammamakkhāhi	dhammaṃ + akkhāhi
nibbānapadamaccutaṃ	nibbānapadaṃ + accutaṃ
todeyyāti	todeyya + iti
dīpamakkhāhi	dīpaṃ + akkhāhi
paddhagūti	paddhagū + iti
vīramakāmakāmiṃ	vīraṃ + akāmakāmiṃ
āsavāssa	āsavā + assa
bhadrāvudhāti	bhadrāvudha + iti
udayāti	udaya + iti
sakkānupucchāmi	sakka + anupucchāmi
posālāti	posāla + iti
tiṭṭhantamenaṃ	tiṭṭhantaṃ + enaṃ
piṅgiyāti	piṅgiya + iti
kiñcanamatthi	kiñcanaṃ + atthi
jatukaṇṇīti	jatukaṇṇi + iti
vanasavhayaṃ	vanasa + avhayaṃ
nattamahābhipassa	nattamahaṃ + abhipassa
pārāyanamanugāyissaṃ	pārāyanaṃ + anugāyissaṃ
yathāddakkhi	yathā + addakkhi
tathākkhāsi	tathā + akkhāsi
pahīnamalamohassa	pahīna + mala + mohassa
mānamakkhappahāyino	māna + makkha + pahāyino
sabbabhavātivatto	sabbabhavaṃ + ativatto
kānanamāvaseyya	kānanaṃ + āvaseyya
taṇhakkhayamanītikaṃ	taṇhakkhayaṃ + anītikaṃ
cakkhunāva	cakkhunā + iva
pañhānantakaro	pañhānaṃ + antakaro
paṭhamakaṭṭhavaro	paṭhamaka + aṭṭha + varo
hirimaṅgalanāmo	hiri + maṅgala + nāmo
kāmaguhaṭṭhakaduṭṭhakanāmā	kāma + guhaṭṭhaka + duṭṭhaka + nāmā
mettiyavaro	mettiya + varo
dhammamadāsi	dhammaṃ + adāsi
parakhemajaniyaṃ	para + khema + janiyaṃ
suttavaraṃ	sutta + varaṃ
byañjanamatthapadaṃ	byañjanaṃ + atthapadaṃ
rāgavirāgamanejamasokaṃ	rāgavirāgaṃ + anejaṃ + asokaṃ
taṇhāratacchadanatāṇalatāpamokkhaṃ	taṇhārata + chadana + tāṇa + latā + pamokkhaṃ
taṇhātalaratacchedanatāṇapamokkhaṃ	taṇhā + tala + rata + chedana + tāṇa + pamokkhaṃ
aṇṇavamūpamaratanasucittaṃ	aṇṇavaṃ + upama + ratana + sucittaṃ
ravimūpamatejaṃ	raviṃ + upama + tejaṃ
maccutatāṇaparaṃ	m + accuta + tāṇa + paraṃ
evampahaṃ	evaṃ + api + ahaṃ
kiṃpattinamāhu	kiṃ + pattinaṃ + āhu
nāpentime	nāpenti + ime
sataraṃsiṃva	sataraṃsiṃ + iva
uddhaṃsa	uddhaṃ + sa
sayaṃva	sayaṃ + eva
viriyavāso	viriyavā + so
haññadatthatthi	hi + añña + attha + atthi
kuppapaṭiccasantiṃ	kuppapaṭicca + santiṃ
mupāgamuṃ	m + upāgamuṁ
diṭṭhimakaṃsu	diṭṭhiṃ + akaṃsu
manusāsati	m + anusāsati
viriyavāti	viriyavā + iti
tamanudāsino	tamanudo + āsino
mānamakkhappahāyino	māna + makkha + pahāyino
sammāparibbājanīyopi	sammāparibbājanīyo + api
puṭṭhumakāmamāgamaṃ	puṭṭhuṃ + akāmaṃ + āgamaṃ
pārāyananteva	pārāyanaṃ + iti + eva
dasamāsaccayena	dasamāsa + accayena
ādīnavavibhāvanatthameva	ādīnava + vibhāvana + atthaṃ + eva
idamajaramidamamaraṃ	idaṃ + ajaraṃ + idaṃ + amaraṃ
aviraddhoyevāsīti	aviraddho + eva + asi + iti
tatopaññena	tato + api + aññena
suññatānimittasamāpattiyova	suññatā + animitta + samāpattiyo + eva
palāpettha	palāpo + ettha
vānurakkhituṃ	vā + anurakkhituṃ
cetehi	ca + etehi
conatā	ca + onatā
manti	maṃ + iti
padānupubbatāpetaṃ	pada + anupubbatā + api + etaṃ
hupeyyapāvusoti	hupeyya + api + āvuso + iti
sīhānaṃva	sīhānaṃ + iva
imamatthamabhāsisuṃ	imaṃ + atthaṃ + abhāsisuṃ
dumapattaṃva	dumapattaṃ + iva
dhitimāti	dhitimā + iti
nirāmiseti	nirāmise + iti
subbatāti	subbatā + iti
nigacchasīti	nigacchasi + iti
ariyamaṭṭhaṅgikamañjasaṃ	ariyaṃ + aṭṭhaṅgikaṃ + añjasaṃ
sāmaññamakiñcanassāti	sāmaññaṃ + akiñcanassa + iti
vedhīti	vedhī + iti
tuyhāpadāne	tuyhaṃ + apadāne
katāti	katā + iti
sīlameva	sīlaṃ + eva
dullabhanti	dullabhaṃ + iti
gatamāyusaṅkhayaṃ	gataṃ + āyusaṅkhayaṃ
bālampi	bālaṃ + api
sīhappamatto	sīha + appamatto
bhagavānusāsati	bhagavā + anusāsati
pāṇitaleva	pāṇitale + eva
mahogheva	mahogho + eva
visaṃhatāti	visaṃhatā + iti
mayajja	mayā + ajja
sesakenamhi	sesakena + amhi
parinibbissatyanāsavoti	parinibbissati + anāsavo + iti
santhavanti	santhavaṃ + iti
tūlamiva	tūlaṃ + iva
pilavatīva	pilavati + iva
tvevānatthasaṃhitaṃ	tu + eva + anatthasaṃhitaṃ
tathāhayaṃ	tathā + hi + ayaṃ
vaneti	vane + iti
kalyatanti	kalyataṃ + iti
mahāmunīti	mahāmuni + iti
satatamaniccatanti	satataṃ + aniccataṃ + iti
samaṇasādhutāti	samaṇasādhutā + iti
papañca	papaṃ + ca
abhisattova	abhisatto + iva
aññamiva	aññaṃ + iva
vanasavhayo	vana + savhayo
ekakeva	ekake + eva
mahesibhīti	mahesibhi + iti
bhavenamhi	bhavena + amhi
niggahītosi	niggahīto + asi
chavasittova	chavasitto + eva
dhammamassosiṃ	dhammaṃ + assosiṃ
kaṅkhamabhijānāmi	kaṅkhaṃ + abhijānāmi
mahiddhikāti	mahiddhikā + iti
satimāti	satimā + iti
pakubbatīti	pakubbati + iti
janamevassito	janaṃ + eva + assito
pahāyānappake	pahāya + anappake
ratinti	ratiṃ + iti
kappasatānāhaṃ	kappasatāni + ahaṃ
maggamakkhāhi	maggaṃ + akkhāhi
gaṅgāsotova	gaṅgāsoto + iva
ādāsamādāya	ādāsaṃ + ādāya
ñāṇadassanamattano	ñāṇadassanaṃ + attano
orasanti	orasaṃ + iti
anāsavanti	anāsavaṃ + iti
carimoyaṃ	carimo + ayaṃ
kassindriyāni	kassa + indriyāni
mayhindriyāni	mayhaṃ + indriyāni
cattavaṇṇaṃ	ca + attavaṇṇaṃ
uttamamaccutaṃ	uttamaṃ + accutaṃ
nandamānāgataṃ	nandamānaṃ + āgataṃ
sūlamāropamānakaṃ	sūlaṃ + āropamānakaṃ
mānatthe	mā + anatthe
saññamalabhiṃ	saññaṃ + alabhiṃ
pañcāhāhaṃ	pañcāhaṃ + ahaṃ
manutappati	m + anutappati
bhāvayeti	bhāvaye + iti
