compound	split
visuddhimicchati	visuddhiṃ + icchati
methunamanuyuttassa	methunaṃ + anuyuttassa
metteyyāti	metteyya + iti
hīnamāhu	hīnaṃ + āhu
etadariyānamuttamaṃ	etad + ariyānaṃ + uttamaṃ
visuddhimāhu	visuddhiṃ + āhu
pasaṃsamicchaṃ	pasaṃsaṃ + icchaṃ
parihīnamāhu	parihīnaṃ + āhu
abhigajjameti	abhigajjaṃ + eti
paṭisūramicchaṃ	paṭisūraṃ + icchaṃ
diṭṭhimuggayha	diṭṭhiṃ + uggayha
sampayātaveti	sampayātave + iti
pavitakkamāgamā	pavitakkaṃ + āgamā
bhavūpapattiñca	bhavūpapattiṃ + ca
sīlavatānujīvitaṃ	sīlavataṃ + anujīvitaṃ
māgaṇḍiyāti	māgaṇḍiya + iti
māgandiyāti	māgandiya + iti
passañca	passaṃ + ca
momuhameva	momuhaṃ + eva
aṇumpi	aṇuṃ + api
canūpalittaṃ	ca + anūpalittaṃ
piyānu	piyā + nu
dvayameva	dvayaṃ + eva
mamattamatthi	mamattaṃ + atthi
upanissitāti	upanissitā + iti
paṭikkosamakevalī	paṭikkosaṃ + akevalī
sakaṃsakaṃdiṭṭhiparibbasānā	sakaṃsakaṃ + diṭṭhiparibbasānā
dhammamanānujānaṃ	dhammaṃ + anānujānaṃ
sabbevime	sabbe + eva + ime
sakaṃsakaṃdiṭṭhimakaṃsu	sakaṃsakaṃ + diṭṭhiṃ + akaṃsu
kapīva	kapi + iva
ettāvataggampi	ettāvatā + aggaṃ + api
takkamanussaranti	takkaṃ + anussaranti
dvayadhammamāhu	dvayadhammaṃ + āhu
sayamattanā	sayaṃ + attanā
yābhivadanti	yā + abhivadanti
suddhimakevalī	suddhiṃ + akevalī
suddhimakevalīno	suddhiṃ + akevalīno
tyābhirattā	te + abhirattā
medhagamāvaheyya	medhagaṃ + āvaheyya
nindamanvānayanti	nindaṃ + anvānayanti
pasaṃsampi	pasaṃsaṃ + api
kimeyya	kiṃ + eyya
khantimakubbamāno	khantiṃ + akubbamāno
saññamenāhu	saññamena + āhu
satthāva	satthā + iva
santimanuggahāya	santiṃ + anuggahāya
suddhimanutthunanti	suddhiṃ + anutthunanti
panāhu	pana + āhu
paripuṇṇamāhu	paripuṇṇaṃ + āhu
sammutimāhu	sammutiṃ + āhu
paraneyyamatthi	paraneyyaṃ + atthi
dhammamaññaṃ	dhammaṃ + aññaṃ
tathaddasā	tatha + addasā
abhabbuppattikāni	abhabba + uppattikāni
munīdha	muni + idha
dhammamabhijaññā	dhammaṃ + abhijaññā
ajjhattamevupasame	ajjhattaṃ + eva + upasame
santimeseyya	santiṃ + eseyya
annānamatho	annānaṃ + atho
athāsanesu	atha + āsanesu
nāññamatimaññe	nāññaṃ + atimaññe
santīti	santi + iti
sakkhidhammamanītihamadassī	sakkhidhammaṃ + anītihaṃ + adassī
bhayamāvisi	bhayaṃ + āvisi
bhavanamattano	bhavanaṃ + attano
osānetveva	osāne + iti + eva
sallamaddakkhiṃ	sallaṃ + addakkhiṃ
sallamabbuyha	sallaṃ + abbuyha
sikkhānukiriyanti	sikkhā + anugīyanti
tamānisaṃsaṃ	taṃ + ānisaṃsaṃ
nirassatīti	nirassati + iti
dutīyamatthi	dutīyaṃ + atthi
atisāradiṭṭhiyāva	atisāradiṭṭhiyā + eva
bālamasuddhidhammaṃ	bālaṃ + asuddhidhammaṃ
sāvajjanavajjametaṃ	sāvajjanavajjaṃ + etaṃ
saddhammapūjāpi	saddhammapūjā + api
samantamasāro	samantaṃ + asāro
sikkhānugīyanti	sikkhā + anugīyanti
gaṇimāgato	gaṇiṃ + āgato
ratimajjhagā	ratiṃ + ajjhagā
gaṇimāgataṃ	gaṇiṃ + āgataṃ
rittamāsanaṃ	rittaṃ + āsanaṃ
kyāssassu	kiṃ + assa + assu
sīlabbatānāssu	sīlabbatāni + assu
paradhammikānampi	paradhammikānaṃ + api
yadāvilattaṃ	yad + āvilattaṃ
athappiyaṃ	atha + piyaṃ
kudha	ko + idha
soyevattho	so + eva + attho
satimābhinande	satiṃ + abhinande
mahāyaññamakappayi	mahāyaññaṃ + akappayi
vacanamabravi	vacanaṃ + abravi
ñāṇamettha	ñāṇaṃ + ettha
manasāyeva	manasā + eva
tasitovudakaṃ	tasito + iva + udakaṃ
mahālābhaṃva	mahālābhaṃ + iva
pabbatamāruhuṃ	pabbataṃ + āruhuṃ
sataraṃsīva	sataraṃsī + iva
nāmanighaṇḍurukkhādīnaṃ	nāma + nighaṇḍu + rukkha + ādīnaṃ
kametaṃ	kaṃ + etaṃ
vanasavhayaṃ	vanasa + avhayaṃ
kissābhilepanaṃ	kiṃ + assa + abhilepanaṃ
jappābhilepanaṃ	jappā + abhilepanaṃ
paññāyete	paññāya + ete
katthetaṃ	kattha + etaṃ
manasānāvilo	manasā + anāvilo
ubhantamabhiññāya	ubhantaṃ + abhiññāya
sibbinimaccagā	sibbiniṃ + accagā
puṇṇakāti	puṇṇaka + iti
kāmābhijappanti	kāma + abhijappanti
mettagūti	mettagū + iti
etābhinandāmi	etaṃ + abhinandāmi
nūnappajaheyyu	nūna + pajaheyyu
saṅgamimaṃ	saṅgaṃ + imaṃ
tenahātappaṃ	tena + hi + ātappaṃ
dhotakāti	dhotaka + iti
brāhmaṇamiriyamānaṃ	brāhmaṇaṃ + iriyamānaṃ
ākāsova	ākāso + iva
upasīvāti	upasīva + iti
pūgampi	pūgaṃ + api
pamāṇamatthi	pamāṇaṃ + atthi
vādapathāpi	vādapathā + api
sabbeti	sabbe + iti
nandāti	nanda + iti
nivutāti	nivutā + iti
anekarūpampi	anekarūpaṃ + api
oghatiṇṇāti	oghatiṇṇā + iti
dhammamakkhāhi	dhammaṃ + akkhāhi
nibbānapadamaccutaṃ	nibbānapadaṃ + accutaṃ
todeyyāti	todeyya + iti
dīpamakkhāhi	dīpaṃ + akkhāhi
paddhagūti	paddhagū + iti
vīramakāmakāmiṃ	vīraṃ + akāmakāmiṃ
āsavāssa	āsavā + assa
bhadrāvudhāti	bhadrāvudha + iti
udayāti	udaya + iti
sakkānupucchāmi	sakka + anupucchāmi
posālāti	posāla + iti
tiṭṭhantamenaṃ	tiṭṭhantaṃ + enaṃ
piṅgiyāti	piṅgiya + iti
kiñcanamatthi	kiñcanaṃ + atthi
jatukaṇṇīti	jatukaṇṇi + iti
nattamahābhipassa	nattamahaṃ + abhipassa
pārāyanamanugāyissaṃ	pārāyanaṃ + anugāyissaṃ
yathāddakkhi	yathā + addakkhi
tathākkhāsi	tathā + akkhāsi
pahīnamalamohassa	pahīna + mala + mohassa
mānamakkhappahāyino	māna + makkha + pahāyino
sabbabhavātivatto	sabbabhavaṃ + ativatto
kānanamāvaseyya	kānanaṃ + āvaseyya
taṇhakkhayamanītikaṃ	taṇhakkhayaṃ + anītikaṃ
cakkhunāva	cakkhunā + iva
pañhānantakaro	pañhānaṃ + antakaro
paṭhamakaṭṭhavaro	paṭhamaka + aṭṭha + varo
hirimaṅgalanāmo	hiri + maṅgala + nāmo
kāmaguhaṭṭhakaduṭṭhakanāmā	kāma + guhaṭṭhaka + duṭṭhaka + nāmā
mettiyavaro	mettiya + varo
dhammamadāsi	dhammaṃ + adāsi
parakhemajaniyaṃ	para + khema + janiyaṃ
suttavaraṃ	sutta + varaṃ
byañjanamatthapadaṃ	byañjanaṃ + atthapadaṃ
rāgavirāgamanejamasokaṃ	rāgavirāgaṃ + anejaṃ + asokaṃ
taṇhāratacchadanatāṇalatāpamokkhaṃ	taṇhārata + chadana + tāṇa + latā + pamokkhaṃ
taṇhātalaratacchedanatāṇapamokkhaṃ	taṇhā + tala + rata + chedana + tāṇa + pamokkhaṃ
aṇṇavamūpamaratanasucittaṃ	aṇṇavaṃ + upama + ratana + sucittaṃ
ravimūpamatejaṃ	raviṃ + upama + tejaṃ
maccutatāṇaparaṃ	m + accuta + tāṇa + paraṃ
evampahaṃ	evaṃ + api + ahaṃ
kiṃpattinamāhu	kiṃ + pattinaṃ + āhu
nāpentime	nāpenti + ime
sataraṃsiṃva	sataraṃsiṃ + iva
uddhaṃsa	uddhaṃ + sa
sayaṃva	sayaṃ + eva
viriyavāso	viriyavā + so
haññadatthatthi	hi + añña + attha + atthi
kuppapaṭiccasantiṃ	kuppapaṭicca + santiṃ
mupāgamuṃ	m + upāgamuṃ
diṭṭhimakaṃsu	diṭṭhiṃ + akaṃsu
manusāsati	m + anusāsati
viriyavāti	viriyavā + iti
tamanudāsino	tamanudo + āsino
sammāparibbājanīyopi	sammāparibbājanīyo + api
puṭṭhumakāmamāgamaṃ	puṭṭhuṃ + akāmaṃ + āgamaṃ
pārāyananteva	pārāyanaṃ + iti + eva
dasamāsaccayena	dasamāsa + accayena
ādīnavavibhāvanatthameva	ādīnava + vibhāvana + atthaṃ + eva
idamajaramidamamaraṃ	idaṃ + ajaraṃ + idaṃ + amaraṃ
aviraddhoyevāsīti	aviraddho + eva + asi + iti
tatopaññena	tato + api + aññena
suññatānimittasamāpattiyova	suññatā + animitta + samāpattiyo + eva
palāpettha	palāpo + ettha
vānurakkhituṃ	vā + anurakkhituṃ
cetehi	ca + etehi
conatā	ca + onatā
manti	maṃ + iti
padānupubbatāpetaṃ	pada + anupubbatā + api + etaṃ
hupeyyapāvusoti	hupeyya + api + āvuso + iti
sīhānaṃva	sīhānaṃ + iva
imamatthamabhāsisuṃ	imaṃ + atthaṃ + abhāsisuṃ
dumapattaṃva	dumapattaṃ + iva
dhitimāti	dhitimā + iti
nirāmiseti	nirāmise + iti
subbatāti	subbatā + iti
nigacchasīti	nigacchasi + iti
ariyamaṭṭhaṅgikamañjasaṃ	ariyaṃ + aṭṭhaṅgikaṃ + añjasaṃ
sāmaññamakiñcanassāti	sāmaññaṃ + akiñcanassa + iti
vedhīti	vedhī + iti
tuyhāpadāne	tuyhaṃ + apadāne
katāti	katā + iti
sīlameva	sīlaṃ + eva
dullabhanti	dullabhaṃ + iti
gatamāyusaṅkhayaṃ	gataṃ + āyusaṅkhayaṃ
bālampi	bālaṃ + api
sīhappamatto	sīha + appamatto
bhagavānusāsati	bhagavā + anusāsati
pāṇitaleva	pāṇitale + eva
mahogheva	mahogho + eva
visaṃhatāti	visaṃhatā + iti
mayajja	mayā + ajja
sesakenamhi	sesakena + amhi
parinibbissatyanāsavoti	parinibbissati + anāsavo + iti
santhavanti	santhavaṃ + iti
tūlamiva	tūlaṃ + iva
pilavatīva	pilavati + iva
tvevānatthasaṃhitaṃ	tu + eva + anatthasaṃhitaṃ
tathāhayaṃ	tathā + hi + ayaṃ
vaneti	vane + iti
kalyatanti	kalyataṃ + iti
mahāmunīti	mahāmuni + iti
satatamaniccatanti	satataṃ + aniccataṃ + iti
samaṇasādhutāti	samaṇasādhutā + iti
papañca	papaṃ + ca
abhisattova	abhisatto + iva
aññamiva	aññaṃ + iva
vanasavhayo	vana + savhayo
ekakeva	ekake + eva
mahesibhīti	mahesibhi + iti
bhavenamhi	bhavena + amhi
niggahītosi	niggahīto + asi
chavasittova	chavasitto + eva
dhammamassosiṃ	dhammaṃ + assosiṃ
kaṅkhamabhijānāmi	kaṅkhaṃ + abhijānāmi
mahiddhikāti	mahiddhikā + iti
satimāti	satimā + iti
pakubbatīti	pakubbati + iti
janamevassito	janaṃ + eva + assito
pahāyānappake	pahāya + anappake
ratinti	ratiṃ + iti
kappasatānāhaṃ	kappasatāni + ahaṃ
maggamakkhāhi	maggaṃ + akkhāhi
gaṅgāsotova	gaṅgāsoto + iva
ādāsamādāya	ādāsaṃ + ādāya
ñāṇadassanamattano	ñāṇadassanaṃ + attano
orasanti	orasaṃ + iti
anāsavanti	anāsavaṃ + iti
carimoyaṃ	carimo + ayaṃ
kassindriyāni	kassa + indriyāni
mayhindriyāni	mayhaṃ + indriyāni
cattavaṇṇaṃ	ca + attavaṇṇaṃ
uttamamaccutaṃ	uttamaṃ + accutaṃ
nandamānāgataṃ	nandamānaṃ + āgataṃ
sūlamāropamānakaṃ	sūlaṃ + āropamānakaṃ
mānatthe	mā + anatthe
saññamalabhiṃ	saññaṃ + alabhiṃ
pañcāhāhaṃ	pañcāhaṃ + ahaṃ
manutappati	m + anutappati
bhāvayeti	bhāvaye + iti
brahmacariyānuciṇṇena	brahmacariyaṃ + anuciṇṇena
saṅgāmasīseva	saṅgāmasīse + iva
kittitāti	kittitā + iti
maccupāsaṃva	maccupāsaṃ + iva
iriyantyamarā	iriyanti + amarā
māsādesi	mā + āsādesi
abandhanāti	abandhanā + iti
tassatthā	tassa + atthā
virujjhatīti	virujjhati + iti
puttamādāya	puttaṃ + ādāya
ālayamālayesinī	ālayaṃ + ālayesinī
bhijjatuyaṃ	bhijjatu + ayaṃ
naveva	nava + eva
andhova	andho + iva
tavantike	tava + antike
divasassahaṃ	divasassa + ahaṃ
dānīdha	dāni + idha
lūkhampi	lūkhaṃ + api
kānaneti	kānane + iti
gajova	gajo + iva
navaggahamaṅkusaggaho	navaggahaṃ + aṅkusaggaho
bījaṃva	bījaṃ + iva
samuddova	samuddo + iva
vivekamanubrūhayanti	vivekamanubrūhayaṃ + iti
samunnamayamattānaṃ	samunnamayaṃ + attānaṃ
saṃgāmasīseva	saṃgāmasīse + iva
padhaṃsayīti	padhaṃsayi + iti
bhariyāyānitāya	bhariyāya + ānitāya
paṭivijjhahanti	paṭivijjhi + ahaṃ + iti
esāvahiyyase	eso + avahiyyase
dadhithālakaṃva	dadhithālakaṃ + iva
hatthikkhandhāvapatitaṃ	hatthikkhandhā + avapatitaṃ
sakkāyādhigatā	sakkāyaṃ + adhigatā
yathaññe	yathā + aññe
nayakovidāti	nayakovidā + iti
mūsikasobbhaṃva	mūsikasobbhaṃ + iva
tesaññataroyamāyuvā	tesaṃ + aññataro + ayaṃ + āyuvā
sabbapāṇānukampati	sabbapāṇe + anukampati
assaddhānīdha	assaddhānaṃ + idha
rajojallamadhārayiṃ	rajojallaṃ + adhārayiṃ
mahājutimanāsavaṃ	mahājutiṃ + anāsavaṃ
leṇamaleṇadassinī	leṇaṃ + aleṇadassinī
surammāti	surammā + iti
kalīva	kalī + iva
āṇidvāreva	āṇidvāre + iva
selaguhāyaṃva	selaguhāyaṃ + iva
kathamahaṃ	kathaṃ + ahaṃ
buddhamappameyyaṃ	buddhaṃ + appameyyaṃ
dhammamappameyyaṃ	dhammaṃ + appameyyaṃ
saṅghamappameyyaṃ	saṅghaṃ + appameyyaṃ
abhivuṭṭhaṃva	abhivuṭṭhaṃ + iva
khuramādāya	khuraṃ + ādāya
chettumattano	chettuṃ + attano
jātijarātivattate	jātijarā + ativattate
vijjateva	vijjati + eva
maggametaṃ	maggaṃ + etaṃ
vārināva	vārinā + iva
latāva	latā + iva
aṅgārakāsuṃva	aṅgārakāsuṃ + iva
tapantamiva	tapantaṃ + iva
madañca	madaṃ + ca
hatāti	hatā + iti
niccamattāṇo	niccaṃ + attāṇo
pādukāruyha	pādukā + āruyha
yuvāsi	yuvā + asi
harāmahaṃ	harāmi + ahaṃ
bhaddova	bhaddo + iva
ramanteke	ramanti + eke
bhaddāti	bhadda + iti
dhammasudhammatāti	dhammasudhammatā + iti
yesāyaṃ	yesu + ayaṃ
lābhāti	lābhā + iti
cābravi	ca + abravi
kuṭimacchisaṃ	kuṭiṃ + acchisaṃ
cakkhumāssa	cakkhumā + assa
paññavāssa	paññavā + assa
paṭhamamaddakkhiṃ	paṭhamaṃ + addakkhiṃ
cetosantimanajjhagaṃ	cetosantiṃ + anajjhagaṃ
sudīpamattano	sudīpaṃ + attano
acārihaṃ	acāriṃ + ahaṃ
udakakumbhamādāya	udakakumbhaṃ + ādāya
pattadaṇḍova	pattadaṇḍo + iva
baḷiseneva	baḷisena + iva
hessatyājāniyo	hessati + ājāniyo
vittavāpi	vittavā + api
byantikatova	byantikato + eva
accimantova	accimanto + iva
nevātisītaṃ	na + eva + atisītaṃ
sakkati	sakka + iti
tayābhijāto	tayā + abhijāto
aṅgīrasassappaṭimassa	aṅgīrasassa + appaṭimassa
ayyakosīti	ayyako + asi + iti
sādhayissāmahaṃyeva	sādhayissāmi + ahaṃ + eva
nadiṃva	nadiṃ + iva
candanikaṃva	candanikaṃ + iva
navamaṃsapesisatānulittoti	nava + maṃsapesi + sata + anulitto + iti
yemaṃ	ye + imaṃ
parinibbissantināsavāti	parinibbissanti + anāsavā + iti
āgacchantaggikhandhāva	āgacchantā + aggikhandhā + iva
phalamāsamāno	phalaṃ + āsamāno
nisīdambavane	nisīdiṃ + ambavane
nisīdahaṃ	nisīdiṃ + ahaṃ
gūthalittaṃva	gūthalittaṃ + iva
nibbutiñcādhigacchatīti	nibbutiṃ + ca + adhigacchti + iti
yañcettha	yaṃ + ca + ettha
aṭṭhaṅgamaggamariyaṃ	aṭṭhaṅgamaggaṃ + ariyaṃ
uppādayateva	uppādayati + eva
ekādaseva	ekādasa + eva
sīlamevidha	sīlaṃ + eva + idha
saññamenādhigacchati	saññamena + adhigacchati
pāpamācaraṃ	pāpaṃ + ācaraṃ
sīlamābharaṇaṃ	sīlaṃ + ābharaṇaṃ
kavacamabbhutaṃ	kavacaṃ + abbhutaṃ
sambalamevaggaṃ	sambalaṃ + eva + aggaṃ
ahamāyāciṃ	ahaṃ + āyāciṃ
pubbajātimanussariṃ	pubbajātiṃ + anussariṃ
brāhmaṇamuttamanti	brāhmaṇaṃ + uttamaṃ + iti
nibbānamabhihāraye	nibbānaṃ + abhihāraye
dīghamantare	dīghaṃ + antare
āmodayāmahaṃ	āmodayāmi + ahaṃ
abbhamattaṃva	abbhamattaṃ + iva
sampādethappamādena	sampādetha + appamādena
ariyadhammova	ariyadhammo + eva
sibbinimaccagū	sibbiniṃ + accagū
indakhīlova	indakhīlo + iva
garahāva	garahā + eva
parinibbantināsavāti	parinibbanti + anāsavā + iti
rogānamiva	rogānaṃ + iva
pitvāva	pitvā + iva
pītvāva	pītvā + iva
ādittāva	ādittā + iva
sutattaṃva	sutattaṃ + iva
sāsanamāgamma	sāsanaṃ + āgamma
kimānupubbaṃ	kiṃ + ānupubbaṃ
indriyāneva	indriyāni + eva
tittakaggamanussaraṃ	tittakaggaṃ + anussaraṃ
samuggamiva	samuggaṃ + iva
khuraṃva	khuraṃ + iva
tesamāvaraṇaṃ	tesaṃ + āvaraṇaṃ
paresamabhijigīsati	paresaṃ + abhijigīsati
indriyānindriyeheva	indriyāni + indriyehi + eva
vatātāpī	vata + ātāpī
ghasamāmisaṃ	ghasaṃ + āmisaṃ
dvedhāpannarasāyutaṃ	dvedhā + pannarasāyutaṃ
hadayeti	hadaye + iti
sallamabbhantarapassayaṃ	sallaṃ + abbhantarapassayaṃ
rahadehamasmi	rahade + ahaṃ + asmi
thinamiddhamapatthaṭe	thinamiddhaṃ + patthaṭe
mabravi	me + abravi
maggamaddakkhiṃ	maggaṃ + addakkhiṃ
titthamaddakkhimuttamaṃ	titthaṃ + addakkhiṃ + uttamaṃ
cirarattamadhiṭṭhitaṃ	cirarattaṃ + adhiṭṭhitaṃ
mepānudī	me + apānudī
evamācinato	evaṃ + ācinato
dantāmha	dantā + amha
sojja	so + ajja
ṭṭhitomhi	ṭhito + amhi
tuvamaṭṭhitosi	tuvaṃ + aṭṭhito + asi
pabbajjamayāci	pabbajjaṃ + ayāci
suddhimajjhagaṃ	suddhiṃ + ajjhagaṃ
suddhamajjhagā	suddhaṃ + ajjhagā
niccamāraddhavīriyo	niccaṃ + āraddhavīriyo
nippapañcamadesayi	nippapañcaṃ + adesayi
tiriñcati	ti + riñcati
tiriñcati	iti + riñcati
udakāsanabhojanaṃ	udaka + āsana + bhojanaṃ
nānappayātamhi	nānā + payātamhi
phussasavhayaṃ	phussa + savhayaṃ
aññamaññamagāravā	aññamaññaṃ + agāravā
uppajjissantyanāgate	uppajjissanti + anāgate
guṇahīnāpi	guṇahīnā + api
vatthumajeḷakaṃ	vatthuṃ + ajeḷakaṃ
sādiyissantyanāgate	sādiyissanti + anāgate
carissantyariyā	carissanti + ariyā
nāgassāsi	nāgassa + āsi
niggaṇhissantyanāgate	niggaṇhissanti + anāgate
sikkhāpentāpi	sikkhāpentā + api
sotamodhesimatthiko	sotaṃ + odhesiṃ + atthiko
rukkhamūlaṃva	rukkhamūlaṃ + eva
upatissova	upatisso + eva
maraṇameva	maraṇaṃ + eva
sutenātimaññati	sutena + atimaññati
andhakāraṃva	andhakāraṃ + iva
selamāruyha	selaṃ + āruyha
anattaneyyametaṃ	anattaneyyaṃ + etaṃ
cetosamathamanuttaṃ	cetosamathaṃ + anuttaṃ
nāgaṃva	nāgaṃ + iva
iṇaṭṭova	iṇaṭṭo + iva
āṇākhettaṃ	āṇā + khettaṃ
vimalaṃva	vimalaṃ + iva
maccujarāyupaddutaṃ	maccujarāya + upaddutaṃ
tikhiṇamasiṃ	tikhiṇaṃ + asiṃ
ajjhattikāneva	ajjhattikāni + eva
patareyyamiddhiyā	patareyyaṃ + iddhiyā
calamiti	calaṃ + iti
kapālahatthova	kapālahattho + eva
nibbānamevābhimano	nibbānaṃ + eva + abhimano
tiracchānagatāpi	tiracchānagatā + api
ummattakeneva	ummattakena + iva
pakateva	pakati + eva
gajaṃva	gajaṃ + iva
yoggācariyova	yoggācariyo + iva
gāmaṇḍalaṃva	gāmaṇḍalaṃ + iva
gūthaṭṭhānaṃva	gūthaṭṭhānaṃ + iva
paṅkamhiva	paṅkamhi + iva
tadākāsasamaṃ	tad + ākāsasamaṃ
aggikhandhaṃva	aggikhandhaṃ + iva
nibbānamadhigantabbaṃ	nibbānaṃ + adhigantabbaṃ
vandanāyetaṃ	vandanā + etaṃ
māsādi	mā + āsādi
māttānaṃ	mā + attānaṃ
kummaggamanudhāvati	kummaggaṃ + anudhāvati
kimīva	kimi + iva
puṇḍarīkaṃva	puṇḍarīkaṃ + iva
saṅkhārenupalippati	saṅkhāre + nupalippati
bālova	bālo + iva
sukhañcānubhoti	sukhaṃ + ca + anubhoti
ekasattatītisaṅkhyā	ekasattati + iti + saṅkhyā
theragāthāṭṭhakathā	theragāthā + aṭṭhakathā
uṭṭhahatīti	uṭṭhahati + iti
asitaṃva	asitaṃ + iva
namassamanusikkhe	namassaṃ + anusikkhe
vītamalova	vītamalo + iva
bodhimajjhagamā	bodhiṃ + ajjhagamā
kaccissataṃ	kacci + assa + taṃ
ekasattatīti	ekasattati + iti
aggikhandhāva	aggikhandhā + iva
nibbutāti	nibbutā + iti
piṇḍapātamatikkanto	piṇḍapātaṃ + atikkanto
ubbhamāhu	ubbhaṃ + ahu
samaṇaṭṭhitomhi	samaṇa + ṭhito + amhi
ujjuhānova	ujjuhāno + iva
sasaṅgāmeva	sasaṅgāme + eva
sayantuttānaseyyakā	sayanti + uttānaseyyakā
gaṇikāva	gaṇikā + iva
padīpadhārova	padīpadhāro + iva
dhammaviññāṇamākaṅkhaṃ	dhammaviññāṇaṃ + ākaṅkhaṃ
vassupetova	vassupeto + iva
gaganāvabbhachāditā	gaganā + iva + abbhachāditā
sahasādiyitvā	sahasā + ādiyitvā
vighātudayameva	vighātudayaṃ + eva
vivaramanupabhanti	vivaraṃ + anupabhanti
sālikāyiva	sālikāya + iva
meghopasammaye	megho + upasammaye
paralābhopajīvantā	paralābhaṃ + upajīvantā
natavedisaṃ	na + tava + edisaṃ
abhumme	abhuṃ + me
sayissanti	sayissaṃ + iti
padālayāti	padālaya + iti
samappitāti	samappitā + iti
yogakkhemamanuttaranti	yogakkhemaṃ + anuttaraṃ + iti
muttāmhi	muttā + amhi
sītibhūtāmhi	sītibhūtā + amhi
sītibhūtāsi	sītibhūtā + asi
upasantāmhi	upasantā + amhi
aḍḍhenagghaṃ	aḍḍhena + agghaṃ
nibbindahaṃ	nibbindiṃ + ahaṃ
virajjahaṃ	virajjiṃ + ahaṃ
sājja	sā + ajja
visositāti	visositā + iti
suññatassānimittassa	suññatassa + animittassa
lābhinīhaṃ	lābhinī + ahaṃ
aṅkusamādāya	aṅkusaṃ + ādāya
pādanti	pādaṃ + iti
nāgamāruhi	nāgaṃ + āruhi
jīvāti	jīva + iti
etamhāḷāhane	etamhi + āḷāhane
kamanusocasi	kaṃ + anusocasi
kiṃme	kiṃ + ime
pītāva	pītā + iva
valāhakamivaddhagū	valāhakaṃ + iva + addhagū
pappotumitthiyā	pappotuṃ + itthiyā
tyamha	te + amha
sītibhūtamha	sītibhūtā + amha
mebhiññā	me + abhiññā
oruhāmihaṃ	oruhāmi + ahaṃ
bhuñjahaṃ	bhuñjiṃ + ahaṃ
patthanāpi	patthanā + api
hīnamatthaṃ	hīnaṃ + atthaṃ
yathābhūtamavekkhantī	yathābhūtaṃ + avekkhantī
vasantīhaṃ	vasantī + ahaṃ
maggamañjasaṃ	maggaṃ + añjasaṃ
bhaddeti	bhadde + iti
abhuñjahaṃ	abhuñjiṃ + ahaṃ
cāvajjadassinī	ca + avajjadassinī
bhadraṃvajāniyaṃ	bhadraṃ + iva + ājāniyaṃ
padīpasseva	padīpassa + iva
pubbajātimanussaruṃ	pubbajātiṃ + anussaruṃ
tevijjāmha	tevijjā + amha
duggatāhaṃ	duggatā + ahaṃ
tevijjāmhi	tevijjā + amhi
cāgataṃ	ca + āgataṃ
khossa	kho + assa
tatāgacchi	tato + āgacchi
itopi	ito + api
sambuddhamakutobhayaṃ	sambuddhaṃ + akutobhayaṃ
yathābhuccamajānantā	yathābhuccaṃ + ajānantā
suddhimamaññatha	suddhiṃ + amaññatha
uyyānamabhihārayiṃ	uyyānaṃ + abhihārayiṃ
yathābhuccamajānantī	yathābhuccaṃ + ajānantī
sakkāyadiṭṭhimeva	sakkāyadiṭṭhiṃ + eva
paripucchahaṃ	paripucchiṃ + ahaṃ
sakkaṃva	sakkaṃ + iva
sādhumuttāmhi	sādhumuttā + amhi
sādhumuttikāmhi	sādhumuttikā + amhi
khambhesimattānaṃ	khambhesiṃ + attānaṃ
nikkhipissāmimaṃ	nikkhipissāmi + imaṃ
abbūḷhasallāhaṃ	abbūḷhasallā + ahaṃ
cittassūpasamajjhagaṃ	cittassūpasamaṃ + ajjhagaṃ
pāsamivoḍḍiya	pāsaṃ + iva + oḍḍiya
namassihaṃ	namassiṃ + ahaṃ
bujjhihaṃ	bujjhiṃ + ahaṃ
ummaggapaṭipannāmhi	ummaggapaṭipannā + amhi
anantarāvimokkhāsiṃ	anantarāvimokkhā + āsiṃ
okassayāmahaṃ	okassayāmi + ahaṃ
vicārihaṃ	vicāriṃ + ahaṃ
addasāhaṃ	addasaṃ + ahaṃ
appattāva	appattā + eva
amatamadhigacchiṃ	amataṃ + adhigacchiṃ
apekkhihaṃ	apekkhiṃ + ahaṃ
karissaseko	karissasi + eko
vasībhūtāhaṃ	vasībhūtā + ahaṃ
udakamāhariṃ	udakaṃ + āhariṃ
puññampimā	puññaṃ + api + imā
nāhamicchāmi	na + ahaṃ + icchāmi
ajjamhi	ajja + amhi
vāsitova	vāsito + iva
jarāyatha	jarāya + atha
kānanaṃva	kānanaṃ + iva
sampaṭivijjhahaṃ	sampaṭivijjhiṃ + ahaṃ
dhammasaṃvegamāpādiṃ	dhammasaṃvegaṃ + āpādiṃ
sapattikampi	sapattikaṃ + api
nettahesumabhinīlamāyatā	nettā + ahesuṃ + abhinīlamāyatā
uddhaṃsotāti	uddhaṃsotā + iti
kokilāva	kokilā + iva
thevikīva	thevikī + iva
kañcanassaphalakaṃva	kañcanassa + phalakaṃ + iva
bahudukkhānamālayo	bahudukkhānaṃ + ālayo
samaṇāneva	samaṇānaṃ + eva
samaṇānameva	samaṇānaṃ + eva
pahīnesaṃ	pahīnaṃ + esaṃ
anapekkhāva	anapekkhā + eva
pariniṭṭhitamesānā	pariniṭṭhitaṃ + esānā
amhampi	amhaṃ + api
puttamatosayi	puttaṃ + atosayi
